0	ITCC	2
1	gamma-Butyrolactone	2
2	eIF4E	0
3	abietane	2
4	DOGMATISM	2
5	UBLCP1	0
6	nodZ	0
7	TZDs	2
8	mono-N-dealkyldisopyramide	2
9	RVF	1
10	diarrheal_enterotoxin	1
11	grp170	0
12	B6_and_D2	0
13	VUSE	1
14	cardiac_auscultation	1
15	intraoral_squamous_cell_carcinoma	1
16	painted_turtles	3
17	TIM-4	0
18	IUI	2
19	Lysinuric	1
20	AHD	1
21	Azolla	2
22	PERIOD	0
23	chloroguanide	2
24	NEUROD1	0
25	a-diazo_oxime_ethers	2
26	PPARa	0
27	Castle_Polyposis	1
28	polyomavirus_infection	1
29	Epostane	2
30	Rickettsia_rickettsii	3
31	vigantol	2
32	small_for_gestational_age	1
33	SCN-	2
34	restorative_proctocolectomy	1
35	pleural	1
36	ansamycin	2
37	sleep_disorders	1
38	IL-3R	0
39	Voiding_dysfunction	1
40	Cardiac_hypertrophy	1
41	citywide	2
42	bacterial_and_fungal_cultures	1
43	Thymidine	2
44	HPV-B19	0
45	HYPOPHYSO-ADRENAL	2
46	CHROMOGENIC	2
47	Asacol	2
48	phenergan	2
49	NEU3	0
50	heterotaxia	1
51	WSN	1
52	Ictalurus_punctatus	3
53	O-sulfate	2
54	L-PG	2
55	Slow_wave_sleep	1
56	Pandemrix	2
57	PAAr	2
58	adenoma_of_the_pituitary	1
59	CDC14	0
60	Next-generation_sequencing	1
61	DOTA	2
62	poly_(ADP-ribose)_polymerase_1	0
63	SGIP1	0
64	CpG5	2
65	IMPDH2	0
66	Chronic_Lymphocytic_Leukaemia	1
67	globomycin	2
68	Brucella_infections	1
69	Oaz1	0
70	HNP1	0
71	retinal_dysfunction	1
72	urethral_cancer	1
73	A11	0
74	Fe(iii)_citrate	2
75	ACNs	2
76	bismuth_telluride	2
77	catechol_estrogen	2
78	Fe3O4@GO	2
79	esophagus	1
80	ZnTs	2
81	disruptive	1
82	Meckel's_diverticulum	1
83	HPPD	1
84	RAD2	0
85	psychologic_stress	1
86	carbamazepine-epoxide	2
87	[14C]DG	2
88	[3H]-isoprenaline	2
89	RQ	2
90	PFRIT	2
91	HR-ESI-MS	1
92	OQAFMA	2
93	menaquinone-7	2
94	IDDT	1
95	Ftr	2
96	AutoMicrobic_system	1
97	masked	1
98	srRNA	0
99	TGIF2LX	0
100	miR-338	0
101	palladium(II)	2
102	IDP	2
103	cyanogenic_glycoside	2
104	manganites	2
105	Endocrine	2
106	ClO4-	2
107	endralazine	2
108	relative_deficiency	1
109	early_afterdepolarizations	1
110	Philippines	2
111	ET-A	0
112	right_superior_vena_cava	1
113	brainstem_death	1
114	PLND	2
115	IL__-23	0
116	PhLi	2
117	IIPs	1
118	germ_cell_tumour	1
119	hexane-acetone	2
120	CD14	0
121	solid_tumor	1
122	infectious-disease	1
123	Heparin-binding_EGF-like_growth_factor	0
124	HSP72/73	0
125	Tourette_disorder	1
126	Interleukin-8	0
127	Zamifenacin	2
128	N._GONORRHOEAE	3
129	7DL	2
130	Cyclin_A1	0
131	PTBD	2
132	cholesteryl_sulphate	2
133	FeCl2	2
134	coastal_South	1
135	hexabromocyclododecanes	2
136	oxygen-glucose	2
137	glycodelin-S	0
138	Lu	2
139	rIL-7	0
140	giraffes	3
141	Allostatic_load	1
142	Thyroid_cancer	1
143	Chrysoperla_externa	3
144	oromotor_behaviors	1
145	phosphomycin	2
146	Gal-1	0
147	malignant_hepatic_tumors	1
148	wt1	0
149	N6-cyclopentyladenosine	2
150	Azospirillum_brasilense	3
151	dihydrochalcones	2
152	cardiovascular_autonomic_neuropathy	1
153	Clara_cell_secretory_protein	0
154	Helicopter_Emergency_Medical_Service	1
155	bile_alcohol	2
156	CuONPs	2
157	dazmegrel	2
158	Ig_heavy_chain	0
159	L-myc	0
160	endothelial_cell_density	1
161	Xbra	0
162	acetyl_coenzyme_A	2
163	felbamate	2
164	making	1
165	Gelatinase_A	0
166	DFP-11207	2
167	low_anomalies	1
168	Becker_Muscular_Dystrophy	1
169	Cordemcura	2
170	ruptured_aortic_aneurysms	1
171	GPs	1
172	ionized_calcium-binding_adapter_molecule_1	0
173	ccr5	0
174	delta-aminolevulinate	2
175	heat_gain	1
176	beta_2-adrenoceptor	0
177	quin_2	2
178	Hc2	0
179	2,4-D_amine	2
180	DRESS_syndrome	1
181	Capon	0
182	Ime2	0
183	PEG-OB	2
184	kallikrein-binding_protein	0
185	adrenal_myelolipoma	1
186	gigantomastia	1
187	ocimene	2
188	O2__(-)	2
189	Terpentecin	2
190	recomendaciones	2
191	Rous_sarcoma_virus	3
192	dengue_infection	1
193	BDMA	2
194	FGF12	0
195	Charcot's_arthropathy	1
196	RAIC	2
197	P-Rh*	0
198	hENT2	0
199	ergotism	1
200	GTP-cyclohydrolase_I	0
201	beta-hydroxy-butyrate	2
202	ICRF_159	2
203	simian_virus_5	3
204	DnaJ	0
205	DBVPG	2
206	mercapturic	2
207	HrHPV	2
208	aceto-carmine	2
209	Severin	2
210	PUE	2
211	GSSG/GSH	1
212	ROBO4	0
213	opiate_withdrawal_syndrome	1
214	daytime_impairment	1
215	Distemper	1
216	N-(2-hydroxypropyl)methacrylamide	2
217	renal_cortical_necrosis	1
218	PPR	0
219	PhP	2
220	glial-cell-line-derived_neurotrophic_factor	0
221	laryngomalacia	1
222	latent_membrane_protein_1	0
223	Tlr4	0
224	tremor	1
225	Gingivitis	1
226	JCV	2
227	Guanylyl	2
228	ammonia	2
229	hexadentate	2
230	SULT2A1	0
231	RCE1	0
232	Toluidine	2
233	Bas1p	0
234	CJC-1131	2
235	E._faecalis	3
236	Peridex	2
237	Escherchia_coli	3
238	immune_abnormalities	1
239	Cerebral_autosomal_dominant_arteriopathy	1
240	oncopterin	2
241	aprinocarsen	2
242	rfp	0
243	bone_degeneration	1
244	CABP4	0
245	cutaneous_disease	1
246	agrimonolide	2
247	CCR-1	0
248	leukemoid_reactions	1
249	rpl22	0
250	Di	2
251	PBCA	2
252	1MX	2
253	high_mobility_group_protein_B1	0
254	cell_adhesion_molecule_1	0
255	Nav1.7	0
256	organ_dysfunction	1
257	vascular_damage	1
258	knee_dislocations	1
259	Lefradafiban	2
260	dRING	0
261	adenosine_triphosphatase	2
262	cholesterol_esterase	0
263	6K	2
264	CBZ-ERC	2
265	TBAR	1
266	MDRAB	1
267	corneal_angiogenesis	1
268	glycochenodeoxycholate	2
269	PAAS	2
270	ESCCs	1
271	Btk-deficient	1
272	L-CAM	0
273	111In-octreotide	2
274	cyclin_D1_and_D3	0
275	hexamethylenediamine	2
276	[125I]IUdR	2
277	Velo-cardio-facial_syndrome	1
278	insulin_like_growth_factor_1	0
279	MLC1V	0
280	[3H]quinuclidinyl_benzylate	2
281	CU_behaviors	1
282	acute_serum_sickness	1
283	Dourine	2
284	fixation_disparity	1
285	Sec18p	0
286	geographic_tongue	1
287	COMMD7	0
288	TGase_3	0
289	family_history	1
290	paraplegia	1
291	Necrotic_enteritis	1
292	Thioether	2
293	paracingulate	2
294	europium(iii)	2
295	sickle_cell_disease	1
296	tyramine	2
297	[3H]vinblastine	2
298	crotonic_acid	2
299	carcinoma_of_the_uterus	1
300	triangles	2
301	OAC	2
302	acute_renal_failure	1
303	coxa_valga	1
304	peroxisome-deficient	1
305	right_ventricular_ejection_fraction	1
306	APAM	2
307	peripheral_nervous_system_disease	1
308	AH13205	2
309	N-methyl-D,L-aspartic_acid	2
310	oral_diseases	1
311	Prodigiosin	2
312	Corg	2
313	BoTox	2
314	caspase_2	0
315	ZCCHC12	0
316	bone_cysts	1
317	synaptotagmin_III	0
318	sulphite	2
319	TVU	2
320	Polycarbonate	2
321	illness_behaviors	1
322	intracranial_malignancy	1
323	BOR	1
324	Kanglaite	2
325	[3H]kainate	2
326	Streptococcus_anginosus	3
327	[3H]VCR	2
328	corneal_infiltration	1
329	high_grade_dysplasia	1
330	CRM	2
331	S-2288	0
332	coprostanol	2
333	C14-C15	2
334	1-U	2
335	flavin_adenine_dinucleotide	2
336	pentosyl	2
337	Brij_30	2
338	Epinephelus	3
339	insulin-like_growth_factor_binding_protein_7	0
340	SAICAR	2
341	prolonged_mechanical_ventilation	1
342	AN1	2
343	ICDH	2
344	benzoporphyrin	2
345	[3H]bumetanide	2
346	efaroxan	2
347	PDADMAC	2
348	F+	2
349	DOD	2
350	microsomal_GST-III	0
351	B-cell_lymphoma-2	0
352	Gd-EDTA	2
353	mel	0
354	R._rattus	3
355	left_visual_field	1
356	hypoxic-ischaemic	1
357	snf2	0
358	oxindazac	2
359	LLL12	2
360	Tomato_yellow_leaf_curl_virus	3
361	benzo(a)pyrene-3,6-quinol	2
362	BBDS	1
363	leptomycin_B	2
364	RVEDP	2
365	N-butyl-N-(3-formylpropyl)nitrosamine	2
366	chronic_bullous_disease	1
367	MLDS	1
368	polycystic_lipomembranous_osteodysplasia	1
369	elgodipine	2
370	upper_limb_fractures	1
371	glucuronoxylomannan	2
372	8-IP	2
373	paranoid_disorder	1
374	hepatic_abscess	1
375	osteolytic_disease	1
376	Carfilzomib	2
377	Ferrichrome	2
378	benzeneacetamide	2
379	MMD	1
380	medication	1
381	GEO	2
382	hypertrophic_cardiomyopathies	1
383	ONO-2235	2
384	Unilateral_Cleft_Lip_and_Palate	1
385	nasal_type	1
386	insulin-like_growth_factor_binding_protein-1	0
387	imidazoline	2
388	Gastrointestinal_dysmotility	1
389	COL-3	2
390	Ro_40-7592	2
391	dolichols	2
392	vancomycin	2
393	CRIg	0
394	NtAQP1	0
395	HER2neu	0
396	Structural_abnormalities	1
397	DSRS	2
398	myo-Inositol	2
399	propylthiouracil	2
400	BCS	1
401	iodotriazole	2
402	alkylating_agents	2
403	CENTRAL	2
404	2,6-dichloro-4-nitrophenol	2
405	benzanilide	2
406	Dipteran	2
407	thiazolidine-2,4-dione	2
408	xanthotoxin	2
409	cerebral_vasculitis	1
410	Milstein	2
411	GTMC	2
412	DEM	2
413	cardiac_sarcolemma	1
414	TODs	1
415	WCB	2
416	FatB	0
417	Cephalexin	2
418	ruminantium_HD4	2
419	Levene	2
420	furan_fatty_acids	2
421	ELOVL3	0
422	cystathionine-beta-synthase	0
423	iso-nitrogenous	2
424	(+/-)-catechin	2
425	MFN2	0
426	Ly-2-	2
427	Electro	2
428	vascular_endothelial_growth_factor_receptor-1	0
429	Phosgene	2
430	manidipine	2
431	EITC	2
432	fullerenes	2
433	CsNAC	2
434	Kuru	0
435	bladder-outlet-obstruction	1
436	[(123)I]IBZM	2
437	BAY_X_1005	2
438	[3H]angiotensin_II	2
439	ST-40	0
440	MS1	0
441	AMBP	0
442	Malathion	2
443	conjunctival_xerosis	1
444	MARS	0
445	Autonomic_dysfunction	1
446	CCDC66	0
447	gramicidin_C	2
448	Protein-losing_enteropathy	1
449	anthracis	3
450	human_immunodeficiency_virus_type_1_(HIV-1)_infection	1
451	Dinucleotide	2
452	Banamine	2
453	enhancer	1
454	Cyc8	0
455	T9	2
456	N(__)-(carboxymethyl)lysine	2
457	fluoranilate	2
458	SWI/SNF	0
459	IFX	2
460	AcHO	2
461	ROR-1	0
462	tooth-borne	1
463	Trampoline	2
464	[125I]iodo-LDL	2
465	[3H]LTE4	2
466	repetitive_strain_injury	1
467	PGRN	1
468	CYCLO	2
469	spinal_dysraphism	1
470	Eph	0
471	p-Stat3	0
472	MC252	2
473	iso-1	0
474	methyl_paraoxon	2
475	boronates	2
476	Ventricular_Cardiomyopathy	1
477	LCFA-CoA	2
478	Aconitum_carmichaelii	3
479	CHCA	2
480	JIP	0
481	ACL-deficient	1
482	chloroplasts	2
483	mental_retarded	1
484	Innominate	2
485	BTF3	0
486	nonsmall_cell_lung_cancers	1
487	Bactrocera_cucurbitae	3
488	intestinal_hypomotility	1
489	sheep_blowfly	3
490	Middle_cerebral_artery_occlusion	1
491	Pd(II)	2
492	mind-body	1
493	Ro_48-6791	2
494	3-OH	2
495	Hematoxylin-eosin	2
496	lysinuric	1
497	ACY	2
498	short_day	1
499	PENT	2
500	IF_gamma	0
501	K(FA)	2
502	C3-C6	2
503	imidazolium	2
504	17-fold	2
505	ecdysiotropin	2
506	1,3-dioxane	2
507	gonadotropin	2
508	PMPH	2
509	congenital_cholesteatoma	1
510	PDE5	0
511	7-hydroxystaurosporine	2
512	K-8644	2
513	SIPA1	0
514	Hub	0
515	Hepatosplenomegaly	1
516	Pantethine	2
517	skin-lightening	1
518	Thio-TEPA	0
519	[3H]-gabapentin	2
520	architectural_distortion	1
521	intestinal_mucosal_injury	1
522	nonsmall-cell_lung_cancer	1
523	intermale_social_aggression	1
524	DCTAs	2
525	IMPA	0
526	TSH	1
527	PSMD4	0
528	ALS?	0
529	caprylic	2
530	H(II)	2
531	abLIM	0
532	tumorous_lesions	1
533	perfluorooctanoic_acid	2
534	lipoprotein_lipase	0
535	Jatropha_curcas	3
536	interferon-inducible_protein-10	0
537	Evans'_syndrome	1
538	SSG	2
539	glycols	2
540	CNCP	1
541	SVAs	1
542	gallbladder_dysfunction	1
543	lyso-PAF	2
544	G._duodenalis	3
545	atrasentan	2
546	mucosal_immunity	1
547	recession	1
548	SF2/ASF	0
549	ferrooxidans	2
550	osteoprotegerin	0
551	dArb	2
552	BaSO4	2
553	dopaminergic_degeneration	1
554	papillary_adenoma	1
555	tricuspid_stenosis	1
556	diaziquone	2
557	INSL3	0
558	ChP	3
559	NaI(Tl)	2
560	DOH	2
561	RecR	0
562	Nitroaromatic	2
563	6betaOHF	2
564	VEGFR-1	0
565	5-ASA	2
566	Bchl	2
567	alpha-keto-beta-methylvalerate	2
568	FSHB	0
569	HFL-1	0
570	LOC389332	2
571	Phenyl-Superose	2
572	urokinase	2
573	hyperalimentation	1
574	Pgp	0
575	Exemestane	2
576	cavin-1	0
577	MIR-375	0
578	(6)-shogaol	2
579	purulent	1
580	Yellow_III	2
581	rasH	1
582	Gyp1p	0
583	Ad12	0
584	Phaseolus_vulgaris-leucoagglutinin	1
585	Thy__-1	0
586	IL12RB2	0
587	Anopheles_sinensis	3
588	delta-1-pyrroline-5-carboxylate	2
589	beta(2)-MG	0
590	cricoarytenoid	2
591	Androgen-receptor	0
592	tracheo-esophageal_fistula	1
593	M.luteus	3
594	cobalamin_deficiency	1
595	SALMONELLA_ENTERITIDIS	3
596	DOS	1
597	Varioguide	2
598	Duodenal_perforation	1
599	Goe_5438	2
600	CK_13	0
601	DGS	1
602	RbTiOPO4	2
603	PERK	0
604	wrist_joints	1
605	B._fibrisolvens	3
606	Abutilon	2
607	2E1	2
608	brown_tumours	1
609	Periodontol	2
610	enediol	2
