47789	32267	8	225
14228	31867	3	2
35405	31559	5	2
31559	35405	5	2
885	32267	8	474
23524	32267	1	80
19250	3914	4	3
44015	56896	1	58
28816	58380	5	1
58380	28816	5	1
37323	28601	5	19
28601	37323	5	19
18885	983	5	1
983	18885	5	1
20452	32267	4	2
49296	43512	6	2
59375	32267	8	3
8394	8772	5	1
8772	8394	5	1
18040	8394	5	1
8394	18040	5	1
18040	8772	5	1
8772	18040	5	1
30702	32267	8	108
11760	55290	8	3
5879	32267	4	33
8008	49214	3	49
58380	15839	3	61
47671	32267	1	143
53458	32267	4	125
18117	32267	1	123
7893	21232	3	2
9105	19518	4	2
44583	50093	5	117
50093	44583	5	117
8540	32267	4	19
8540	62334	3	3
62334	41252	0	277
41252	62334	0	277
8772	40600	3	84
8772	8772	5	106
31758	56628	7	2033
688	56628	3	113
16985	7360	1	4
58380	32267	4	7089
58380	19446	3	2
50979	32267	4	5
31714	33178	4	30
5357	33178	4	10
18811	32267	1	56
27757	32267	4	520
27757	6743	3	4
57830	55484	3	129
16335	46088	5	1
46088	16335	5	1
35383	30122	5	50
30122	35383	5	50
12244	32267	1	474
4900	30203	4	5
3562	8321	4	2200
22455	2498	5	2
2498	22455	5	2
47785	32267	4	194
31686	32267	4	18
53288	55214	4	684
3562	963	4	48
51174	58518	1	2
18214	22211	3	2
18214	39255	4	2
3562	58380	5	1173
58380	3562	5	1173
3562	31794	5	48
31794	3562	5	48
14439	32267	4	705
57830	34475	4	21
34455	42001	3	2
60433	12980	5	2
12980	60433	5	2
57680	55365	5	1
55365	57680	5	1
57067	18510	4	3
3562	826	3	310
3562	61497	4	24
52194	54159	3	2
8217	32267	4	3
57830	59182	6	307
3562	52061	3	415
11413	37956	4	3
15626	11450	4	698
51631	26746	8	4
320	14999	3	2
28861	32267	4	91
8772	51252	5	2
51252	8772	5	2
45179	32267	4	2155
59579	32267	4	345
27733	2528	5	1
2528	27733	5	1
30672	32267	1	1287
16301	32267	1	503
3562	15800	3	4
60180	15524	4	3
9757	22030	4	2
3562	57637	3	4
3562	40941	3	5
38162	10305	5	1
10305	38162	5	1
56498	32267	4	172
27770	49361	3	2
3562	32267	4	376
56616	31565	4	36
37760	16886	3	2
29213	36009	1	2
51355	32267	1	164
13753	12442	4	2
8534	32267	4	45
29000	6663	4	7
19446	32267	1	349
16138	32267	4	257
12885	8772	5	4
8772	12885	5	4
17988	19446	7	4
11728	17988	6	80
21470	33698	1	32
50093	8772	5	73
8772	50093	5	73
34783	32267	1	9
53102	32267	4	24
50173	32267	4	420
4704	40814	1	10
47539	32267	1	89
55917	56628	3	46
55484	32267	1	3329
33390	42194	5	1
42194	33390	5	1
41098	56021	6	4
32517	26424	4	57
3562	59182	6	2785
27692	57847	5	8
57847	27692	5	8
58855	22503	1	2
45026	49361	3	78
19241	32267	4	990
17642	62296	4	4
6559	32267	8	48
29982	32267	1	127
49361	13108	1	108
10597	24708	4	2
26326	55214	4	138
49214	16875	1	58
31944	32267	4	254
49214	15193	0	2
15193	49214	0	2
43148	38446	3	79
19363	32267	4	789
52866	62356	4	12
52866	32267	4	218
58116	62356	8	4
41595	32267	4	442
44747	32267	4	167
31758	47737	8	50
30325	32267	1	406
30011	32267	1	6
